time_open,time_close,open,high,low,close,volume
2026-05-03T00:00:00Z,2026-05-03T00:01:00Z,2316.827110298855,2317.2071279434344,2316.827110298855,2317.178215865682,29105
2026-05-03T00:01:00Z,2026-05-03T00:02:00Z,2317.192542781538,2317.192542781538,2316.984927251202,2316.984927251202,5002
2026-05-03T00:02:00Z,2026-05-03T00:03:00Z,2317.040189815107,2317.0670997049992,2317.0252496490384,2317.0670997049992,1788
2026-05-03T00:03:00Z,2026-05-03T00:04:00Z,2317.0600948871956,2317.180339695369,2317.0600948871956,2317.1328689852953,39030
2026-05-03T00:04:00Z,2026-05-03T00:05:00Z,2316.898290430227,2316.898290430227,2316.321733713213,2316.321733713213,77794
2026-05-03T00:05:00Z,2026-05-03T00:06:00Z,2315.5206265433435,2315.56164607462,2315.189256969099,2315.56164607462,33676
2026-05-03T00:06:00Z,2026-05-03T00:07:00Z,2315.6318126206565,2316.2257036213045,2315.6318126206565,2316.2257036213045,8816
2026-05-03T00:07:00Z,2026-05-03T00:08:00Z,2316.2257036213045,2316.2300098315445,2315.3516455572403,2315.3578267104326,75412
2026-05-03T00:08:00Z,2026-05-03T00:09:00Z,2315.317246194164,2318.5873409834167,2315.2120672244037,2318.5873409834167,32036
2026-05-03T00:09:00Z,2026-05-03T00:10:00Z,2317.5372290823575,2317.6332714653518,2315.3857054442415,2315.4709410241853,47293
